Index: 7936327 | Node id: 760332215 | Distance: 4130.311808 | Name:  
Index: 7936318 | Node id: 760332203 | Distance: 4194.377472 | Name:  
Index: 7936315 | Node id: 760332148 | Distance: 4296.389033 | Name:  
Index: 18706686 | Node id: 1121909773 | Distance: 4323.758017 | Name:  
Index: 109219 | Node id: 30307945 | Distance: 4334.951700 | Name:  
Index: 23209895 | Node id: 1477573164 | Distance: 4346.018503 | Name:  
Index: 3685720 | Node id: 463272130 | Distance: 4358.176210 | Name: MagÃ²ria-La Campana 
Index: 3685721 | Node id: 463272134 | Distance: 5329.538413 | Name: Ildefons CerdÃ  
Index: 9716675 | Node id: 951428771 | Distance: 5397.976746 | Name:  
Index: 3685722 | Node id: 463272136 | Distance: 6048.320141 | Name: Europa-Fira 
Index: 3685723 | Node id: 463272139 | Distance: 6747.951561 | Name: Gornal 
Index: 23488839 | Node id: 1500119405 | Distance: 6841.237198 | Name:  
Index: 18643275 | Node id: 1118408118 | Distance: 6847.563849 | Name:  
Index: 18642725 | Node id: 1118396319 | Distance: 6855.188994 | Name:  
Index: 23488840 | Node id: 1500119409 | Distance: 6863.803770 | Name:  
Index: 10933489 | Node id: 1066620308 | Distance: 6867.211286 | Name:  
Index: 10933488 | Node id: 1066620307 | Distance: 7329.807809 | Name:  
Index: 10933487 | Node id: 1066620306 | Distance: 7387.954332 | Name:  
Index: 18642678 | Node id: 1118396240 | Distance: 7569.367937 | Name:  
Index: 10933486 | Node id: 1066620305 | Distance: 7982.514733 | Name:  
Index: 10933485 | Node id: 1066620303 | Distance: 8050.882809 | Name:  
Index: 10933484 | Node id: 1066620302 | Distance: 8354.718768 | Name:  
Index: 10933483 | Node id: 1066620300 | Distance: 8416.047004 | Name:  
Index: 10933482 | Node id: 1066620299 | Distance: 8482.344751 | Name:  
Index: 10933481 | Node id: 1066620298 | Distance: 8553.629337 | Name:  
Index: 10933480 | Node id: 1066620297 | Distance: 8617.975072 | Name:  
Index: 10933479 | Node id: 1066620294 | Distance: 8678.988083 | Name:  
Index: 10933478 | Node id: 1066620290 | Distance: 8749.179943 | Name:  
Index: 10933477 | Node id: 1066620289 | Distance: 8832.695019 | Name:  
Index: 10933476 | Node id: 1066620285 | Distance: 8910.946188 | Name:  
Index: 10933475 | Node id: 1066620278 | Distance: 9126.636345 | Name:  
Index: 10933474 | Node id: 1066620277 | Distance: 9405.142145 | Name:  
Index: 10933473 | Node id: 1066620271 | Distance: 9495.968215 | Name:  
Index: 10933517 | Node id: 1066620653 | Distance: 9746.358322 | Name:  
Index: 10933547 | Node id: 1066620743 | Distance: 10023.445817 | Name:  
Index: 10933546 | Node id: 1066620742 | Distance: 10449.573371 | Name:  
